id	sex	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2007	2008	2009	2010	2011	2012	2013	2014
18671	m	S	0	S	0	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18773	f	0	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18813	m	0	N	B	B	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18989	m	0	0	0	0	0	S	0	S	0	B	B	0	0	0	0	0	0	0	0	0
19227	f	0	0	0	0	S	0	S	0	T	0	G	M	0	0	0	0	0	0	0	0
19472	m	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19479	f	N	0	B	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26457	u	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
28607	m	0	0	S	0	0	F	B	S	0	S	0	B	0	B	B	F	0	0	0	0
28608	m	0	0	0	0	0	S	A	B	S	A	0	0	0	0	0	0	0	0	0	0
28609	m	0	0	0	0	S	0	S	0	S	0	F	N	B	F	B	B	B	0	0	0
28610	m	0	0	0	0	S	0	S	A	B	B	S	0	0	F	0	B	B	B	B	B
28612	f	0	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28616	m	0	0	0	0	0	S	A	S	0	S	A	N	B	S	0	B	B	B	B	S
28620	m	0	0	0	0	S	0	F	0	S	0	S	0	0	S	0	S	A	S	0	B
28624	m	0	0	0	0	S	0	S	0	B	0	0	0	0	0	0	0	0	0	0	0
28626	m	0	0	0	0	0	0	0	F	S	0	0	0	0	0	0	0	0	0	0	0
28634	f	0	0	0	0	S	0	S	0	B	0	0	0	0	0	0	0	0	0	0	0
28644	m	0	0	0	0	0	0	0	0	0	0	0	N	B	B	0	0	0	0	0	0
28664	m	0	0	0	0	S	0	B	F	S	0	S	0	0	F	S	0	B	F	S	0
28666	m	0	0	0	0	S	0	S	0	S	0	S	0	0	0	0	0	0	0	0	0
28670	m	0	0	0	0	0	S	A	S	0	F	0	N	B	S	0	B	F	0	B	B
28672	f	0	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28683	f	0	0	0	0	0	F	S	0	S	0	0	0	0	0	0	0	0	0	0	0
28687	f	0	0	0	0	0	S	0	S	0	S	0	B	M	0	0	N	0	0	0	0
28690	m	0	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28717	m	0	0	0	0	S	0	B	F	0	0	0	0	0	0	0	0	0	0	0	0
28723	f	0	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28736	f	0	0	0	0	0	S	0	S	0	B	B	B	0	0	B	S	0	0	0	0
28746	f	0	0	0	0	S	0	S	0	S	0	F	N	0	0	0	0	0	0	0	0
28765	f	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28771	m	0	0	0	0	G	F	S	0	0	0	0	0	0	0	0	0	0	0	0	0
28773	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	B	0	0
28930	f	0	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	B	0	0	0
28948	m	0	0	0	0	0	S	A	S	A	S	0	0	B	0	0	0	0	B	0	0
28952	m	0	0	0	0	0	S	0	S	0	0	0	0	B	0	0	0	0	0	0	0
28954	f	0	0	0	0	F	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0
35204	f	0	0	0	0	0	0	0	S	0	S	0	N	0	0	0	0	0	0	0	0
35651	f	0	0	0	0	0	S	0	S	0	S	0	N	F	0	0	0	0	0	0	0
35837	f	0	0	0	0	0	0	S	0	S	0	S	0	0	S	0	0	0	0	0	0
47601	f	S	0	S	0	0	S	0	0	0	0	0	0	0	0	0	0	0	B	0	0
47602	m	0	0	0	0	0	S	0	S	0	S	A	N	0	F	F	0	0	0	0	0
47603	m	0	0	0	0	S	A	S	0	B	S	0	N	0	0	0	0	0	0	0	0
47604	f	S	0	S	0	S	0	F	0	S	0	S	0	0	0	0	0	0	B	0	0
